"SpeciesAuthor","MatrixPopulation","Lat","Lon"
"Anthericum_ramosum","6",49.65,15.0833333333333
"Anthoxanthum_odoratum","Long Hoos; Sawyers field",51.8009444444444,-0.350638888888889
"Anthyllis_vulneraria","Causse Mejean limestone plateau",44.3,3.56666666666667
"Anthyllis_vulneraria_2","Causse Mejean limestone plateau",44.3,3.56666666666667
"Anthyllis_vulneraria_subsp._alpicola","Early successional stage",46.8166666666667,11.0333333333333
"Anthyllis_vulneraria_subsp._alpicola","Late successional stage",46.8166666666667,11.0333333333333
"Antirrhinum_lopesianum","Corporario",41.2,-6.6
"Antirrhinum_subbaeticum","Benizar y Honduras",38.2333333333333,-1.85
"Antirrhinum_subbaeticum","Bogarra, Potiche y Mundo",38.9833333333333,-1.85
"Aquilegia_chrysantha","Fillmore Canyon",32.3176125,-106.550598888889
"Aquilegia_sp.","Fillmore Canyon",32.3333333333333,-106.566666666667
"Arabis_fecunda","Charleys Gulch",46.2509444444444,-114.016861111111
"Arabis_fecunda","Lime Gulch",45.3848055555556,-112.801277777778
"Arabis_fecunda","Vipond park",45.6835,-112.867194444444
"Arctophila_fulva_var._pendulina","Hydric; Non hydric",64.85025,25.3501944444444
"Arctophila_fulva_var._pendulina","Hydric",64.85025,25.3501944444444
"Arctophila_fulva_var._pendulina","Non hydric",64.85025,25.3501944444444
"Arenaria_bolosii","Puig de Massanella",39.8,2.8
"Arisaema_serratum","Tajiri Shrine",36.2333333333333,137.866666666667
"Arisaema_triphyllum","Fall Creek",42.45,-76.45
"Arisaema_triphyllum","Brooktondale",42.3666666666667,-76.3833333333333
"Aristida_bipartita","Heavily grazed; Lightly grazed",-24.6333333333333,31.4
"Aristida_bipartita","Heavily grazed",-24.6333333333333,31.4
"Aristida_bipartita","Lightly grazed",-24.6333333333333,31.4
"Armeria_caespitosa","Peñalara Peak - Plot 1 and Plot 2 (10 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 1 (10 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 2 (10 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 1 and Plot 2 (25 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 1 (25 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 2 (25 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 1 and Plot 2 (40 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 1 (40 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 1 (40% emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Peñalara Peak - Plot 2 (40 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 and Plot 2 (10 % emerging from seed bank)",40.7666666666667,-3.93333333333333
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 (10 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 2 (10 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 and Plot 2 (25 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 (25 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 2 (25 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 and Plot 2 (40 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 (40 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 (40% emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 2 (40 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 and Plot 2 (50 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 1 (50 % emerging from seed bank)",40.85,-3.95
"Armeria_caespitosa","Loma de Cabezas de Hierro - Plot 2 (50 % emerging from seed bank)",40.85,-3.95
"Armeria_maritima","Plombieres",50.7333333333333,5.93333333333333
"Armeria_merinoi","Melide",42.95,-8
"Armeria_merinoi","Torques",42.9666666666667,-7.96666666666667
"Arnica_angustifolia","Kuusamo",66,29
"Artemisia_genipi","Pioneer stage",46.8166666666667,11.0333333333333
"Artemisia_genipi","Early successional stage",46.8166666666667,11.0333333333333
"Asarum_canadense","Mature sugar maple canopy A; Mature sugar maple canopy B; Trambling aspen canopy A; Trambling aspen canopy B",44,-75
"Asarum_canadense","Mature sugar maple canopy A; Mature sugar maple canopy B",44,-75
"Asarum_canadense","Mature sugar maple canopy A",44,-75
"Asarum_canadense","Mature sugar maple canopy B",44,-75
"Asarum_canadense","Trambling aspen canopy A; Trambling aspen canopy B",44,-75
"Asarum_canadense","Trambling aspen canopy A",44,-75
"Asarum_canadense","Trambling aspen canopy B",44,-75
